,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,pca_coef,true_val_coef,iv_coef,covariance,beta1,beta2,p,exp_of_var
0,1.277504837525262,1.021979969293462,1.018889814266318,1.0194852288794412,1.0075828141095633,1.034446852919689,0.5,1.0,1.0,50,no
0,1.307089096222499,1.043965361606058,1.042972368877719,1.043422654799719,1.0294499980630591,1.0522653639697903,0.5,1.0,1.0,50,no
0,1.7533999480574871,1.6030154068928981,1.8054760322574692,1.6274525520680707,0.9802878830094476,1.6628451704581781,0.9,1.0,1.0,5,yes
0,1.7089494329959964,1.5725442455902607,1.8197232189829697,1.6107765604539506,0.9944212190063703,1.6515478679171158,0.9,1.0,1.0,5,yes
0,1.7694833418570972,1.4677309882832517,1.466834318599949,1.4689079671239647,0.9873328358306487,1.5229815017546848,0.9,1.0,1.0,5,no
0,1.675093356973377,1.3993503936681098,1.3987260331518578,1.3991328808045842,0.9794550284380127,1.4730936147730302,0.9,1.0,1.0,5,no
0,3.9592671822131127,2.9275291730282333,4.769610043796469,3.0096706094702643,0.926691140724337,3.3677162282713042,0.5,1.0,10.0,5,yes
0,4.1254856829151905,3.161625426358156,5.104933514325628,3.514053356285952,0.9896038969682988,3.751033182209944,0.5,1.0,10.0,5,yes
0,3.927627121314952,2.155272226912954,2.154912522845793,2.157811181379053,0.9713266371562799,2.3284374769588894,0.5,1.0,10.0,5,no
0,3.756241457318113,2.1266617364746505,2.1325124244896907,2.1345244253358793,1.029810390945529,2.3611562481376573,0.5,1.0,10.0,5,no
0,10.318775853445285,10.219309232813478,10.428650112736921,10.246406352492206,10.02989833393697,10.281943364847619,0.5,10.0,1.0,5,yes
0,10.30439268177098,10.207344369525075,10.39258660199911,10.234261120738134,10.040917965685079,10.267340820996884,0.5,10.0,1.0,5,yes
0,10.317508847211565,10.165774953932686,10.165578840888676,10.166668100567417,10.062403041852857,10.192212339348755,0.5,10.0,1.0,5,no
0,10.283584251285019,10.098530619330624,10.098523892487176,10.099468773182958,9.995794564285227,10.120382242331742,0.5,10.0,1.0,5,no
