"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",71.485,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",70.949,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",70.554,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",69.762,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",70.253,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",69.758,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",69.973,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",69.707,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",69.267,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",69.949,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",69.879,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",69.861,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",69.621,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",69.785,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",69.955,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",70.385,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",70.133,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",70.741,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",71.02,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",71.172,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",70.578,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",70.983,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",69.944,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",70.082,
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",70.353,"P"
"CAN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",70.41,"P"
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",100,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",96.451,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",96.542,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",96.294,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",95.955,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",97.061,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",96.226,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",94.745,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",94.049,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",92.988,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",89.721,"B"
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",89.686,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",89.374,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",89.503,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",90.008,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",89.802,"B"
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",89.357,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",89.998,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",89.386,"B"
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",88.781,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",86.839,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",86.316,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",84.69,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",82.104,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",83.27,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",83.333,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",83.883,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",83.743,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",83.611,"B"
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",82.687,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",82.371,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",81.978,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",82.094,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",83.032,
"CZE","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",83.321,"E"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",83.65,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",84.014,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",83.824,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",85.031,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",85.432,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",86.965,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",86.492,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",86.85,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",87.766,"D"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",87.258,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",87.24,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",87.087,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",86.19,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",85.379,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",85,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",84.08,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",83.903,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",84.221,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",83.783,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",82.384,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",83.217,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",82.858,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",82.274,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",81.734,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",82.025,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",81.894,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",81.691,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",81.012,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",83.167,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",83.107,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",83.406,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",83.806,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",83.91,"B"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",83.549,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",83.744,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",83.87,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",83.708,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",84.02,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",84.459,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",83.88,"B"
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",83.614,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",83.98,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",84.261,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",84.19,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",84.183,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",84.122,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",84.024,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",83.881,
"DNK","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",83.755,"E"
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",71.261,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1971",71.005,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1972",69.715,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1973",71.784,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1974",72.783,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",76.933,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1976",76.854,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1977",77.356,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1978",76.561,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1979",77.133,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",77.946,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1981",78.509,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1982",78.768,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1983",77.719,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1984",77.204,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",77.578,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1986",78.35,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1987",78.683,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1988",78.501,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1989",79.094,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",79.999,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",80.301,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",78.928,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",75.363,"B"
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1994",74.791,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1995",71.23,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1996",71.117,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1997",71.392,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1998",72.024,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1999",71.207,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2000",74.123,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2001",74.58,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2002",75.117,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2003",75.472,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2004",76.012,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2005",76.164,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2006",77.281,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2007",77.184,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2008",77.376,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2009",77.518,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2010",77.084,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2011",77.613,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2012",78.186,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2013",77.95,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2014",78.016,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2015",76.94,"B"
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2016",76.226,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2017",76.418,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2018",76.917,
"FIN","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","2019",77.242,"E"
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1970",74.857,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1975",77.488,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1980",79.577,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1985",78.03,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1990",75.982,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1991",75.628,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1992",75.903,
"FRA","HEALTHEXP","COMPULSORY","PC_HEALTHXP","A","1993",75.829,
